date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:34	1200/1200	---MCZ	200	added ('OK')	text/plain	date:Fri,%2022%20May%202026%2010:28:34%20GMT	https://naddict.com/robots.txt		(from )
13:28:35	512931/512931	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20May%202026%2010:28:34%20GMT	https://naddict.com/	/Users/davidarjan/cloned-site/naddict.com/index.html	(from )
13:28:37	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202026%2010:28:35%20GMT	http://naddict.com/cdn/shop/t/32/assets/favicon.svg?v=66281821223126814701775885985	/Users/davidarjan/cloned-site/naddict.com/cdn/shop/t/32/assets/favicon.09bd8.delayed	(from https://naddict.com/)
13:28:37	279/279	---MCZ	200	added ('OK')	image/svg+xml	date:Fri,%2022%20May%202026%2009:27:02%20GMT	https://naddict.com/cdn/shop/t/32/assets/favicon.svg?v=66281821223126814701775885985	/Users/davidarjan/cloned-site/naddict.com/cdn/shop/t/32/assets/favicon9bd8.svg	(from https://naddict.com/)
13:28:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202026%2010:28:38%20GMT	http://naddict.com/cdn/shop/files/Naddict_logo.png?crop=center&height=630&v=1763022086&width=1200	/Users/davidarjan/cloned-site/naddict.com/cdn/shop/files/Naddict_logo1dd0.png	(from https://naddict.com/)
13:28:40	14083/14083	---M--	200	added ('OK')	image/png	date:Fri,%2022%20May%202026%2010:28:39%20GMT	https://naddict.com/cdn/shop/files/Naddict_logo.png?crop=center&height=630&v=1763022086&width=1200	/Users/davidarjan/cloned-site/naddict.com/cdn/shop/files/Naddict_logo1dd0.png	(from https://naddict.com/)
13:28:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202026%2010:28:40%20GMT	http://naddict.com/cdn/shop/t/32/assets/global.js?v=180771702964191025171775885985	/Users/davidarjan/cloned-site/naddict.com/cdn/shop/t/32/assets/global2940.js	(from https://naddict.com/)
13:28:41	7596/7596	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2022%20May%202026%2009:27:01%20GMT	https://naddict.com/cdn/shop/t/32/assets/global.js?v=180771702964191025171775885985	/Users/davidarjan/cloned-site/naddict.com/cdn/shop/t/32/assets/global2940.js	(from https://naddict.com/)
13:28:43	7321/7321	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202026%2010:28:42%20GMT	https://naddict.com/checkouts/internal/preloads.js?locale=en-RO	/Users/davidarjan/cloned-site/naddict.com/checkouts/internal/preloads72e2.js	(from https://naddict.com/)
13:28:43	0/0	---M--	200	added ('OK')	application/javascript	date:Fri,%2022%20May%202026%2010:28:43%20GMT	https://shop.app/checkouts/internal/preloads.js?locale=en-RO&shop_id=95354683775	/Users/davidarjan/cloned-site/shop.app/checkouts/internal/preloads.7e364.delayed	(from https://naddict.com/)
13:28:44	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202026%2010:28:44%20GMT	http://naddict.com/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	/Users/davidarjan/cloned-site/naddict.com/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	(from https://naddict.com/)
13:28:45	767/767	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2022%20May%202026%2010:19:20%20GMT	https://naddict.com/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	/Users/davidarjan/cloned-site/naddict.com/cdn/shopifycloud/shop-js/modules/v2/loader.init-shop-cart-sync.en.esm.js	(from https://naddict.com/)
13:28:47	9652/9652	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2006%20May%202026%2005:43:53%20GMT	https://cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	/Users/davidarjan/cloned-site/cdn.shopify.com/shopifycloud/storefront-forms-hcaptcha/ce_storefront_forms_captcha_hcaptcha.v1.5.2.iife.js	(from https://naddict.com/)
13:28:47	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202026%2010:28:47%20GMT	http://naddict.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	/Users/davidarjan/cloned-site/naddict.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.b.delayed	(from https://naddict.com/)
13:28:48	13938/13938	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2009%20May%202026%2001:19:23%20GMT	https://naddict.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	/Users/davidarjan/cloned-site/naddict.com/cdn/shopifycloud/storefront/assets/storefront/load_feature-1bd60354.js	(from https://naddict.com/)
13:28:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202026%2010:28:49%20GMT	http://naddict.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-bf1cdb70.js?v=20250812	/Users/davidarjan/cloned-site/naddict.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-bf1cdb705501.js	(from https://naddict.com/)
13:28:51	81128/81128	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202026%2005:13:02%20GMT	https://naddict.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-bf1cdb70.js?v=20250812	/Users/davidarjan/cloned-site/naddict.com/cdn/shopifycloud/storefront/assets/shopify_pay/storefront-bf1cdb705501.js	(from https://naddict.com/)
13:28:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20May%202026%2010:28:52%20GMT	http://cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-0583672e.js	/Users/davidarjan/cloned-site/cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-0583672e.10.delayed	(from https://naddict.com/)
13:28:52	385951/385951	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2022%20May%202026%2010:28:28%20GMT	https://naddict.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	/Users/davidarjan/cloned-site/naddict.com/cdn/shopifycloud/portable-wallets/latest/portable-wallets.en.js	(from https://naddict.com/)
13:28:53	569/569	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2020%20May%202026%2014:27:56%20GMT	https://cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-0583672e.js	/Users/davidarjan/cloned-site/cdn.shopify.com/shopifycloud/storefront/assets/storefront/origin_trials-0583672e.js	(from https://naddict.com/)
